Date	Open	High	Low	Close	Adj Close	Volume	Status	Gross Amount				
21-02-2023	342.85	344.13	336.42	337.50	337.50	5710300	Loss	-5.35				
22-02-2023	337.50	341.91	332.82	334.88	334.88	4546200	Loss	-2.62				
23-02-2023	331.23	331.28	314.30	323.65	323.65	13238700	Loss	-7.58				
24-02-2023	319.30	321.50	314.52	317.15	317.15	6830700	Loss	-2.15				Result
27-02-2023	323.87	330.00	322.12	323.03	323.03	6142600	Loss	-0.84				Profit
28-02-2023	323.70	327.62	321.17	322.13	322.13	3676100	Loss	-1.57				Loss
01-03-2023	321.55	326.60	312.36	313.48	313.48	4911300	Loss	-8.07				
02-03-2023	310.96	315.57	310.38	311.88	311.88	4911000	Profit	0.92				
03-03-2023	315.45	317.49	310.82	315.18	315.18	5953300	Loss	-0.27				
06-03-2023	317.00	323.30	311.84	312.03	312.03	5660700	Loss	-4.97				
07-03-2023	312.68	314.30	306.62	308.47	308.47	4553100	Loss	-4.21				
08-03-2023	309.29	311.83	305.75	311.79	311.79	3479500	Profit	2.50				
09-03-2023	312.08	312.51	294.88	297.78	297.78	7443400	Loss	-14.30				
10-03-2023	297.90	298.79	289.00	292.76	292.76	5759300	Loss	-5.14				
13-03-2023	287.34	299.24	285.33	293.51	293.51	6292400	Profit	6.17				
14-03-2023	295.97	297.45	290.31	294.94	294.94	5956700	Loss	-1.03				
15-03-2023	292.51	306.31	292.28	303.79	303.79	9215300	Profit	11.28				
16-03-2023	304.75	316.60	301.71	310.06	310.06	7903700	Profit	5.31				
17-03-2023	310.06	310.76	300.00	303.50	303.50	6918800	Loss	-6.56				
20-03-2023	299.79	307.50	296.00	305.13	305.13	5113400	Profit	5.34				
21-03-2023	306.32	307.92	300.43	305.79	305.79	4886300	Loss	-0.53				
22-03-2023	306.31	306.45	293.54	293.90	293.90	5808000	Loss	-12.41				
23-03-2023	304.68	322.78	304.14	320.37	320.37	15653300	Profit	15.69				
24-03-2023	320.63	331.83	320.63	328.39	328.39	12991700	Profit	7.76				
27-03-2023	327.55	336.44	324.41	327.66	327.66	8625800	Profit	0.11				
28-03-2023	326.06	333.32	321.28	323.52	323.52	6489400	Loss	-2.54				
29-03-2023	326.29	332.85	325.73	332.03	332.03	6287300	Profit	5.74				
30-03-2023	340.27	343.29	335.30	338.43	338.43	7131500	Loss	-1.84				
31-03-2023	340.05	345.84	337.20	345.48	345.48	5610200	Profit	5.43				
03-04-2023	341.83	348.58	340.40	348.28	348.28	4413700	Profit	6.45				
04-04-2023	348.49	349.80	343.95	346.75	346.75	3298100	Loss	-1.74				
05-04-2023	345.30	345.43	336.25	342.35	342.35	4205500	Loss	-2.95				
06-04-2023	339.34	340.48	332.63	339.33	339.33	4660500	Loss	-0.01				
10-04-2023	335.27	339.88	333.36	338.99	338.99	2657900	Profit	3.72				
11-04-2023	343.45	347.14	337.64	338.21	338.21	4044800	Loss	-5.24				
12-04-2023	340.81	342.80	330.04	331.03	331.03	3965400	Loss	-9.78				
13-04-2023	339.99	346.43	338.75	346.19	346.19	7406400	Profit	6.20				
14-04-2023	342.94	344.85	336.41	338.63	338.63	5350500	Loss	-4.31				
17-04-2023	338.00	338.39	327.50	332.72	332.72	6136000	Loss	-5.28				
18-04-2023	335.00	337.19	330.50	333.70	333.70	17944500	Loss	-1.30				
19-04-2023	324.21	325.75	316.10	323.12	323.12	22128300	Loss	-1.09				
20-04-2023	320.39	331.43	318.33	325.35	325.35	9947800	Profit	4.96				
21-04-2023	323.00	328.29	319.50	327.98	327.98	6348000	Profit	4.98				
24-04-2023	330.20	334.66	326.75	329.02	329.02	5586600	Loss	-1.18				
25-04-2023	328.50	328.66	321.10	322.55	322.55	5426600	Loss	-5.95				
26-04-2023	321.36	325.90	320.47	321.15	321.15	4623200	Loss	-0.21				
27-04-2023	324.30	327.45	317.44	325.85	325.85	5618800	Profit	1.55				
28-04-2023	325.24	330.81	324.00	329.93	329.93	4221900	Profit	4.69				
01-05-2023	329.44	331.23	318.09	324.12	324.12	5341500	Loss	-5.32				
02-05-2023	325.00	326.07	315.62	317.55	317.55	4318600	Loss	-7.45				
03-05-2023	317.55	324.62	315.85	319.30	319.30	5064100	Profit	1.75				
04-05-2023	319.01	323.61	317.95	320.78	320.78	3879700	Profit	1.77				
05-05-2023	323.61	324.15	319.44	322.76	322.76	3988600	Loss	-0.85				
08-05-2023	322.99	332.56	322.03	331.21	331.21	5488600	Profit	8.22				
09-05-2023	330.67	336.32	329.74	332.14	332.14	5544900	Profit	1.47				
10-05-2023	335.21	337.11	329.51	335.42	335.42	4289900	Profit	0.21				
11-05-2023	334.98	345.47	331.84	344.76	344.76	8033500	Profit	9.78				
12-05-2023	344.76	348.17	337.36	339.89	339.89	6079900	Loss	-4.87				
15-05-2023	340.62	341.90	335.54	335.89	335.89	3653000	Loss	-4.73				
16-05-2023	334.00	335.17	331.91	333.75	333.75	3332200	Loss	-0.25				
17-05-2023	331.76	341.38	329.62	339.96	339.96	3958800	Profit	8.20				
18-05-2023	347.25	375.87	346.37	371.29	371.29	20925200	Profit	24.04				
19-05-2023	369.86	369.99	363.81	365.36	365.36	7850900	Loss	-4.50				
